libusb 1.0.18-1
libusb-compat 0.1.5-1
libusbmuxd 1.0.9-1
libutempter 1.1.6-2
libutil-linux 2.24.2-1
libva 1.3.1-1
libvdpau 0.7-1
libvisio 0.0.31-3
libvisual 0.4.0-4
libvorbis 1.3.4-1
libvpx 1.3.0-1
libwbclient 4.1.7-1
libwebp 0.4.0-1
libwmf 0.2.8.4-12
libwpd 0.9.9-1
libwpg 0.2.2-2
libwps 0.2.9-1
libx11 1.6.2-2
libx86emu 1.1.21.6-1
libxau 1.0.8-2
libxaw 1.0.12-1
libxcb 1.10-2
libxcomposite 0.4.4-1
libxcursor 1.1.14-2
libxdamage 1.1.4-1
libxdg-basedir 1.2.0-2
libxdmcp 1.1.1-1
libxext 1.3.2-1
libxfce4ui 4.10.0-1
libxfce4util 4.10.1-2
libxfixes 5.0.1-1
libxfont 1.4.7-3
libxft 2.3.1-2
libxi 1.7.2-1
libxinerama 1.1.3-2
libxkbcommon 0.4.2-1
libxkbfile 1.0.8-1
libxml2 2.9.1-5
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.4.2-2
libxrender 0.9.8-1
libxshmfence 1.1-1
libxslt 1.1.28-3
libxss 1.2.2-2
libxt 1.1.4-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.8-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.3-1
libyaml 0.1.6-1
licenses 20130203-1
linux 3.14.5-1
linux-api-headers 3.14.1-1
linux-firmware 20140316.dec41bc-1
linux-headers 3.14.5-1
lirc-utils 1:0.9.0-71
llvm 3.4.1-2
llvm-libs 3.4.1-2
logrotate 3.8.7-3
lpsolve 5.5.2.0-2
lsof 4.87-2
lua 5.2.3-1
lua-lgi 0.7.2-1
lvm2 2.02.106-2
lxappearance 0.5.5-1
lzo2 2.06-3
m4 1.4.17-1
make 4.0-2
man-db 2.6.7.1-1
man-pages 3.68-1
mcpp 2.7.2-4
mdadm 3.3-2
mesa 10.1.4-1
mesa-libgl 10.1.4-1
mime-types 9-1
mjpegtools 2.1.0-1
mkinitcpio 17-1
mkinitcpio-busybox 1.21.1-2
mobile-broadband-provider-info 20120614-2
mozilla-common 1.4-3
mpfr 3.1.2.p8-1
mpg123 1.20.0-1
mplayer 37051-2
mtdev 1.1.5-1
musicbrainz 2.1.5-6
mutagen 1.23-1
